#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,arandr,"is a UI for screen adjustment."
,atool,"manages and gives information about archives."
,bc,"is used for a dropdown calculator."
,bluez,"Bluetooth"
,bluez-utils,"CLI for bluetooth connections"
,calibre,"E-book library"
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,ffmpeg,"can record and splice video and audio on the command line."
,fzf,"is a fuzzy finder tool."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,highlight,"can highlight code output."
A,htop-vim-git,"provides system usage information and displays processes."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
,i3-gaps,"is the main graphical user interface and window manager."
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,libnotify,"allows desktop notifications."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,librewolf-extension-localcdn-bin,"local emulation of Content Delivery Networks."
A,librewolf-extension-istilldontcareaboutcookies-bin,"removes annoying cookie banners"
A,librewolf-extension-tridactyl-bin,"vim bindings in your browser."
A,librewolf-extension-ublock-origin-bin,"the best ad blocker in town."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
A,libxft-bgra,"Get colored emojis working"
,light,"Change backlight brightness, xbacklight does not work on arch/thinkpad"
,lynx,"terminal browser"
,maim,"can take quick screenshots at your request."
,man-db,"lets you read man pages of programs."
,mediainfo,"shows audio and video information and is used by vifm as well."
,mpc,"is a terminal interface for mpd."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video player."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,neovim,"an tidier vim with some useful features"
,networkmanager,"does exactly what it sounds like."
,newsboat,"is a terminal RSS client."
,nodejs,"Used by coc autocomplete in Nvim"
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulseaudio-bluetooth,"connect to bluetooth headphones"
,pulsemixer,"is an intuitive ncurses audio controller."
A,python-ueberzug,"generates image previews in vifm and other terminal programs."
,qutebrowser,"Python keyboard focused browser"
,rsync,"Backup data"
A,shellcheck-bin,"dependency free binary of shellcheck"
A,simple-mtpfs,"enables the mounting of cell phones."
,socat,"is a socket utility."
,sxhkd,"binds key."
,sxiv,"is a minimalist image viewer."
,sysstat,"Display cpu % usage in statusbar"
,task,"Task warrior, track tasks in projects"
A,task-spooler,"queues commands or files for download."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,timew,"Time warrior, track time in tasks"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides the sans and serif fonts for LARBS."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,usbutils,"lsusb"
,wezterm,"A GPU-accelerated cross-platform terminal emulator and multiplexer"
,wget,"Download websites"
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xorg-server,"is the graphical server."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
